date,GDP,Labour_prod,Broad_money,Private_debt,Unemployment,GDHI,Inflation,Policy_rate,ERI,CA
1947Q1,,29.613,,,,,,,,
1947Q2,,30.169,,,,,,,,
1947Q3,,29.143,,,,,,,,
1947Q4,,30.419,,,,,,,,
1948Q1,2.846463,30.579,,,,,,,,
1948Q2,4.635454,30.403,,,,,,,,
1948Q3,5.327628,30.353,,,,,,,,
1948Q4,3.805978,30.364,,,,,,,,
1949Q1,0.904081,30.634,,,,,,,,
1949Q2,-1.041768,30.833,,,,,,,,
1949Q3,-0.509405,31.456,,,,,,,,
1949Q4,-1.507176,31.328,,,,,,,,
1950Q1,3.837417,32.574,,,,,,,,
1950Q2,7.337309,33.022,,,,,,,,
1950Q3,10.261232,33.898,,,,,,,,
1950Q4,13.407907,33.985,,,,,,,,
1951Q1,10.552975,34.1,,,,,,,,
1951Q2,9.169572,33.972,,,,,,,,
1951Q3,7.283392,34.558,,,,,,,,
1951Q4,5.483772,34.611,,,,,,,,
1952Q1,5.160027,34.922,,189.293,,,,,,
1952Q2,3.582785,34.699,,195.577,,,,,,
1952Q3,2.22638,34.625,,200.88,,,,,,
1952Q4,5.348139,35.427,,208.132,,,,,,
1953Q1,6.185998,35.704,,211.975,,,,,,
1953Q2,6.791802,35.747,,218.127,,,,,,
1953Q3,5.430769,35.63,,222.132,,,,,,
1953Q4,0.531476,35.411,,225.767,,,,,,
1954Q1,-1.761463,35.408,,226.957,,,,,,
1954Q2,-2.420207,35.692,,231.822,,,,,,
1954Q3,-0.757099,36.284,,237.222,,,,1.03,,
1954Q4,2.7359,36.889,,244.211,,,,0.99,,
1955Q1,6.159824,37.771,,248.948,4.733333,,12.24459,1.34,,
1955Q2,7.775076,37.942,,259.377,4.4,,12.24459,1.50,,
1955Q3,7.999189,38.102,,267.356,4.1,,12.30574,1.94,,
1955Q4,6.572331,38.069,,277.617,4.233333,,12.32102,2.36,,
1956Q1,3.214364,37.469,,282.304,4.033333,,12.29045,2.48,,
1956Q2,2.398576,37.493,,291.311,4.2,,12.39746,2.69,,
1956Q3,0.957264,37.508,,297.383,4.133333,,12.55032,2.81,,
1956Q4,1.994993,37.972,,305.291,4.133333,,12.62675,2.93,,
1957Q1,3.049965,38.274,,309.274,3.933333,,12.70319,2.93,,
1957Q2,1.980542,37.879,,318.147,4.1,,12.84077,3.00,,
1957Q3,3.058101,38.328,,323.451,4.233333,,12.97835,3.23,,
1957Q4,0.359913,38.107,,329.585,4.933333,,13.00892,3.25,,
1958Q1,-2.867841,37.517,,330.838,6.3,,13.1465,1.86,,
1958Q2,-2.00963,38.303,,336.654,7.366667,,13.25351,0.94,,
1958Q3,-0.711249,39.2,,342.246,7.333333,,13.26879,1.32,,
1958Q4,2.663602,40.058,,352.516,6.366667,,13.26879,2.16,,
1959Q1,7.35667,40.225,,357.062,5.833333,11730,13.26879,2.57,,
1959Q2,9.246428,40.827,,369.456,5.1,11872,13.31465,3.08,,
1959Q3,6.572188,40.62,,378.124,5.266667,11805,13.40637,3.58,,
1959Q4,4.545791,40.453,,389.209,5.6,11837,13.48281,3.99,,
1960Q1,4.922783,41.299,2.987E+11,393.312,5.133333,11883,13.46752,3.93,,0.2576622
1960Q2,2.043253,40.763,3.011E+11,404.512,5.233333,11915,13.54395,3.70,,0.3906415
1960Q3,2.494727,40.921,3.06467E+11,410.756,5.533333,11886,13.57453,2.94,,0.6124408
1960Q4,0.85745,40.254,3.10933E+11,420.477,6.266667,11827,13.66625,2.30,,0.8191283
1961Q1,-0.669546,40.689,3.163E+11,423.016,6.8,11895,13.66625,2.00,,0.9077771
1961Q2,1.5623,41.836,3.22133E+11,433.052,7,12030,13.66625,1.73,,0.6501265
1961Q3,2.999272,42.474,3.27567E+11,439.847,6.766667,12139,13.74268,1.68,,0.5941277
1961Q4,6.374485,43.035,3.33333E+11,452.605,6.2,12320,13.75797,2.40,,0.5728787
1962Q1,7.559092,43.64,3.40233E+11,456.421,5.633333,12393,13.78854,2.46,,0.4341573
1962Q2,6.733972,43.772,3.47433E+11,469.346,5.533333,12480,13.84968,2.61,,0.6936838
1962Q3,5.983522,44.324,3.52833E+11,478.75,5.566667,12497,13.91083,2.85,,0.6306033
1962Q4,4.281303,44.525,3.599E+11,492.52,5.533333,12557,13.94141,2.92,,0.4775481
1963Q1,3.576141,44.723,3.67933E+11,498.502,5.766667,12622,13.95669,2.97,,0.541531
1963Q2,3.807862,45.267,3.75933E+11,513.521,5.733333,12700,14.00255,2.96,,0.759059
1963Q3,4.835656,46.107,3.83567E+11,524.011,5.5,12790,14.07898,3.33,,0.6332176
1963Q4,5.175706,46.224,3.91E+11,540.367,5.566667,12949,14.14013,3.45,,0.8246289
1964Q1,6.268026,47.102,3.97533E+11,547.51,5.466667,13162,14.1707,3.46,,1.138346
1964Q2,6.147951,47.526,4.04333E+11,563.882,5.2,13473,14.18599,3.49,,0.8972365
1964Q3,5.529743,47.782,4.13467E+11,574.871,5,13598,14.24714,3.46,,0.9959484
1964Q4,5.153473,47.416,4.21933E+11,591.322,4.966667,13703,14.293,3.58,,0.9518573
1965Q1,5.465831,48.392,4.30367E+11,601.145,4.9,13827,14.32357,3.97,146.1,0.6990635
1965Q2,5.651303,48.584,4.37533E+11,619.309,4.666667,13946,14.43058,4.08,145.6733333,0.8613145
1965Q3,6.352502,49.326,4.46067E+11,631.51,4.366667,14280,14.49172,4.07,145.59,0.6958293
1965Q4,8.476017,50.245,4.55833E+11,649.65,4.1,14520,14.55287,4.17,144.5966667,0.6669219
1966Q1,8.479232,51.057,4.646E+11,661.449,3.866667,14628,14.65988,4.56,143.8733333,0.4926454
1966Q2,7.454425,50.599,4.702E+11,682.868,3.833333,14627,14.82803,4.91,143.7966667,0.3910039
1966Q3,6.065671,50.484,4.72967E+11,692.403,3.766667,14760,14.96561,5.41,144.0366667,0.2363553
1966Q4,4.510306,50.595,4.77733E+11,706.595,3.7,14886,15.0879,5.56,144.2066667,0.3717971
1967Q1,2.928086,50.752,4.85467E+11,713.77,3.833333,15071,15.10319,4.82,142.7333333,0.4141619
1967Q2,2.598257,50.633,4.971E+11,731.651,3.833333,15151,15.22548,3.99,142.6833333,0.3134921
1967Q3,2.751984,50.792,5.106E+11,743.298,3.8,15251,15.36306,3.89,142.4566667,0.2598619
1967Q4,2.698607,50.95,5.214E+11,773.178,3.9,15318,15.50064,4.17,143.0933333,0.2146737
1968Q1,3.830886,51.91,5.30333E+11,773.705,3.733333,15547,15.68408,4.79,144.4133333,0.08604652
1968Q2,5.491739,52.503,5.39067E+11,797.85,3.566667,15771,15.83695,5.98,144.5966667,0.1405537
1968Q3,5.342174,52.48,5.49533E+11,812.919,3.533333,15766,16.05096,5.94,144.8133333,0.05838208
1968Q4,4.966108,52.136,5.62267E+11,839.348,3.4,15831,16.2344,5.92,144.9033333,-0.02102813
1969Q1,4.476631,52.5,5.71867E+11,848.049,3.4,15831,16.43312,6.57,145.5233333,0.04902458
1969Q2,3.071144,52.004,5.769E+11,874.909,3.433333,15968,16.70828,8.33,146.36,-0.05181137
1969Q3,2.974584,51.926,5.80567E+11,890.459,3.566667,16260,16.95287,8.98,146.9,0.01860436
1969Q4,2.070781,51.506,5.85567E+11,914.056,3.566667,16339,17.19746,8.94,146.28,0.1372099
1970Q1,0.329842,51.419,5.87733E+11,918.764,4.166667,16459,17.42676,8.57,145.7066667,0.2353995
1970Q2,0.186055,51.835,5.917E+11,942.369,4.766667,16601,17.7172,7.88,146.17,0.3633271
1970Q3,0.444877,52.382,6.05067E+11,959.238,5.166667,16804,17.91593,6.70,145.3333333,0.189258
1970Q4,-0.152434,51.89,6.21333E+11,979.104,5.833333,16703,18.16051,5.57,145.1366667,0.08135877
1971Q1,2.70308,53.407,6.41267E+11,992.14,5.933333,16986,18.29809,3.86,143.45,0.24011
1971Q2,3.106751,53.567,6.66033E+11,1022.64,5.9,17184,18.49682,4.56,143.11,-0.141113
1971Q3,3.000433,53.951,6.85867E+11,1046.927,6.033333,17223,18.69555,5.47,142.1166667,-0.1816467
1971Q4,4.374845,53.715,7.04433E+11,1074.708,5.933333,17369,18.78727,4.75,137.31,-0.3931015
1972Q1,3.476931,54.526,7.25633E+11,1095.525,5.766667,17408,18.92484,3.54,132.6066667,-0.5488703
1972Q2,5.272383,55.627,7.438E+11,1135.65,5.7,17544,19.07771,4.30,130.8,-0.5319174
1972Q3,5.418382,55.883,7.68833E+11,1163.951,5.566667,17835,19.26115,4.74,130.22,-0.397268
1972Q4,6.85688,56.269,7.94367E+11,1205.632,5.366667,18493,19.44459,5.14,130.8566667,-0.3393335
1973Q1,7.557638,57.467,8.13233E+11,1240.613,4.933333,18584,19.68918,6.54,125.54,0.04200828
1973Q2,6.315132,57.495,8.266E+11,1288.128,4.933333,18691,20.13249,7.82,119.8433333,0.2463327
1973Q3,4.771842,56.94,8.382E+11,1328.508,4.8,18726,20.5758,10.56,116.6633333,0.7619641
1973Q4,4.021366,56.406,8.49E+11,1364.255,4.766667,18886,21.04969,10.00,117.7366667,0.9148998
1974Q1,0.678784,55.887,8.64667E+11,1389.477,5.133333,18537,21.64586,9.32,117.4366667,0.4314042
1974Q2,-0.188165,55.578,8.751E+11,1440.686,5.2,18324,22.25733,11.25,112.8166667,0.02867907
1974Q3,-0.614494,54.83,8.84467E+11,1477.918,5.633333,18295,22.92994,12.09,115.32,-0.07547672
1974Q4,-1.926462,54.946,8.98E+11,1510.987,6.6,18225,23.61784,9.35,114.69,0.1325012
1975Q1,-2.299787,54.926,9.15133E+11,1519.198,8.266666,18159,24.04587,6.30,111.9666667,1.039052
1975Q2,-1.805196,55.773,9.48667E+11,1545.681,8.866667,18956,24.41274,5.42,111.0166667,1.210784
1975Q3,0.793466,56.512,9.83233E+11,1571.534,8.466666,18626,24.93249,6.16,114.75,0.9522631
1975Q4,2.562549,56.864,1.00697E+12,1605.743,8.3,18720,25.32994,5.41,115.2933333,1.090229
1976Q1,6.161161,57.895,1.03897E+12,1626.26,7.733333,18898,25.57453,4.83,113.8766667,0.5625623
1976Q2,6.145481,58.044,1.07017E+12,1673.959,7.566667,18956,25.89555,5.20,113.5266667,0.3549919
1976Q3,4.950772,58.043,1.0986E+12,1714.503,7.733333,19047,26.30829,5.28,114.13,-0.01777308
1976Q4,4.331938,58.104,1.1384E+12,1765.357,7.766667,19109,26.61402,4.87,116.09,0.03363576
1977Q1,3.215082,58.378,1.1771E+12,1808.633,7.5,19059,27.07262,4.66,114.5466667,-0.5394136
1977Q2,4.451621,58.73,1.2088E+12,1879.097,7.133333,19250,27.6688,5.16,113.6,-0.5884966
1977Q3,5.761759,59.184,1.23663E+12,1940.832,6.9,19490,28.06625,5.82,112.0033333,-0.5196036
1977Q4,4.984874,58.337,1.26223E+12,2014.056,6.666667,19810,28.37198,6.51,109.14,-1.081193
1978Q1,4.138496,57.949,1.2858E+12,2066.465,6.333333,19904,28.86115,6.76,106.0933333,-1.271343
1978Q2,6.104979,59.629,1.3098E+12,2156.921,6,20050,29.59491,7.28,105.19,-0.6465908
1978Q3,5.280041,59.534,1.3342E+12,2231.729,6.033333,20135,30.2981,8.10,100.9233333,-0.6114556
1978Q4,6.680881,59.837,1.35913E+12,2309.006,5.9,20235,30.90956,9.58,100.39,-0.1094209
1979Q1,6.522201,59.034,1.37907E+12,2370.871,5.866667,20398,31.67389,10.07,102.18,-0.0669944
1979Q2,2.659706,58.589,1.41177E+12,2468.149,5.7,20170,32.77453,10.18,104.6033333,-0.1064752
1979Q3,2.395508,58.665,1.44517E+12,2557.233,5.866667,20204,33.85988,10.95,104.0466667,0.1382571
1979Q4,1.301904,58.58,1.46667E+12,2634.053,5.966667,20229,34.82294,13.58,106.56,-0.01435527
1980Q1,1.428064,58.549,1.49237E+12,2702.887,6.3,20241,36.19873,15.05,107.74,-0.4947572
1980Q2,-0.749189,57.481,1.51457E+12,2743.985,7.333333,19892,37.52867,12.69,107.4366667,-0.1344315
1980Q3,-1.606085,57.574,1.56033E+12,2806.035,7.666667,20074,38.21657,9.84,104.1433333,0.6060047
1980Q4,-0.04136,58.427,1.59347E+12,2888.5,7.4,20413,39.22549,15.85,105.5633333,0.3184206
1981Q1,1.698322,59.472,1.62073E+12,2935.341,7.433333,20316,40.26498,16.57,107.42,0.1229964
1981Q2,3.045579,58.471,1.66457E+12,3030.157,7.4,20266,41.19746,17.78,112.6266667,0.1550872
1981Q3,4.386194,58.749,1.69407E+12,3110.547,7.4,20624,42.35925,17.58,118.6133333,0.2552432
1981Q4,1.291196,58.127,1.7378E+12,3179.651,8.233334,20611,42.97071,13.59,114.8133333,0.0924613
1982Q1,-2.422538,57.227,1.77713E+12,3226.09,8.833333,20592,43.3223,14.23,118.76,-0.03482182
1982Q2,-1.169255,57.69,1.8151E+12,3299.186,9.433333,20665,43.97963,14.51,123.56,0.4549601
1982Q3,-2.64238,57.805,1.84503E+12,3346.576,9.9,20723,44.80511,11.01,129.9033333,-0.4799422
1982Q4,-1.397073,58.296,1.88643E+12,3400.835,10.66667,20765,44.91211,9.29,130.1233333,-0.586535
1983Q1,1.59386,59.263,1.99047E+12,3441.223,10.36667,20900,44.88154,8.65,129.1566667,-0.2892837
1983Q2,3.349182,60.737,2.04173E+12,3531.661,10.13333,21006,45.44714,8.80,129.8,-0.8742568
1983Q3,5.753561,61.591,2.074E+12,3629.948,9.366667,21270,45.98218,9.46,132.3333333,-1.397627
1983Q4,7.829216,61.923,2.1117E+12,3750.236,8.533334,21678,46.39492,9.43,131.2933333,-1.627345
1984Q1,8.549818,62.23,2.1572E+12,3854.611,7.866667,22078,46.91466,9.69,131.4,-2.139658
1984Q2,7.991975,62.726,2.20363E+12,4011.096,7.433333,22400,47.41912,10.56,132.11,-2.335143
1984Q3,6.960196,62.775,2.23277E+12,4132.872,7.433333,22652,47.93887,11.39,138.3133333,-2.288411
1984Q4,5.634944,62.757,2.28223E+12,4292.249,7.3,22784,48.29046,9.27,140.5733333,-2.564274
1985Q1,4.60673,62.904,2.3509E+12,4419.126,7.233333,22687,48.59619,8.48,145.4766667,-2.220339
1985Q2,3.742329,63.169,2.3925E+12,4564.642,7.3,23075,49.19237,7.92,142.2633333,-2.667319
1985Q3,4.329858,63.843,2.4433E+12,4699.208,7.2,22938,49.54396,7.90,139.7033333,-2.849248
1985Q4,4.280749,64,2.4793E+12,4894.652,7.033333,23144,49.98727,8.10,133.7966667,-3.112255
1986Q1,4.211287,64.609,2.51603E+12,4980.713,7.033333,23386,50.09428,7.83,126.34,-3.029796
